animeTitle	Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA
animeType	OVA
animeNumEpisode	1
releaseDate	2020-03-10 00:00:00
endDate	
animeNumMembers	27236
animeScore	7.47
animeUsers	15180
animeRank	1730
animePopularity	3461
animeDescription	"Eustachius no Shitamachi Sennyuu Dai Sakusen (Eustachius' Incognito Operation Downtown)
To get more information about Myne and her strange background, Head Priest Ferdinand sends two nobles, Eustachius and Eckhard, to investigate everything regarding her life within her hometown. However, things do not go the way they expected.

Corinna-sama no Otaku Houmon (Visiting Missus Corinna)
Otto's wife, Corinna, takes an interest in the outfit that Myne wore at her baptism. Corinna summons her alongside her mother, Eva, and sister, Turi, wishing to know the procedure in making such sophisticated attire and accessories. Naturally, for Myne, she sees an excellent opportunity for profit.

[Written by MAL Rewrite]"
animeRelated	['Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen', 'Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen 2nd Season']
animeCharacters	['Myne', 'Lutz', 'Benno', 'Ferdinand', 'Gunther', 'Otto', 'Ralph', 'Eva', 'Mark', 'Carla']
animeVoices	['Iguchi, Yuka', 'Koyasu, Takehito', 'Hayami, Show', 'Koyama, Tsuyoshi', 'Hino, Satoshi', 'Nabatame, Hitomi', 'Orikasa, Fumiko', 'Maeno, Tomoaki', 'Tachibana, Yuuko']
animeStaff	[['Hongou, Mitsuru', 'Director'], ['Kunisawa, Mariko', 'Script'], ['Amada, Toshiki', 'Background Art'], ['Kawasaki, Yoshiki', 'Assistant Director']]
