animeTitle	Queen's Blade: Unlimited
animeType	OVA
animeNumEpisode	Unknown
releaseDate	2018-07-13 00:00:00
endDate	
animeNumMembers	
animeScore	6.14
animeUsers	749
animeRank	
animePopularity	5400
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	"[""Queen's Blade: Rebellion""]"
animeCharacters	['Airi', 'Alleyne', 'Vance, Leina', 'Echidna', 'Nanael', 'Risty', 'Vance, Claudette', 'Vance, Elina', 'Nowa', 'Melpha']
animeVoices	['Itou, Kanae', 'Kaida, Yuki', 'Hirano, Aya', 'Tanaka, Atsuko', 'Mizuhashi, Kaori', 'Takahashi, Mikako', 'Ohara, Sayaka']
animeStaff	[['Kisaragi, Mayu', 'Director'], ['Aketagawa, Jin', 'Sound Director'], ['Kingetsu, Ryuunosuke', 'Script'], ['Hobby Japan', 'Original Creator']]
