animeTitle	Karakuri no Kimi
animeType	OVA
animeNumEpisode	1
releaseDate	2000-03-24 00:00:00
endDate	
animeNumMembers	6392
animeScore	6.48
animeUsers	2441
animeRank	6235
animePopularity	6343
animeDescription	"Princess Rangiku lost her entire family to Lord Karimata, who invaded her home seeking her father's life work, puppets with unique capabilities. As her duty, Rangiku sets out with three of her father's greatest puppet warriors to seek revenge. She can manipulate these to battle the strongest of warriors, however manipulating the puppets leaves her own self vulnerable to direct attacks, so she seeks a ninja warrior named Manajiri to aid and protect her in her quest.

(Source: ANN)"
animeRelated	['Yoru no Uta']
animeCharacters	['Ayawatari, Rangiku', 'Manajiri, Yasaburou', 'Narrator', 'Head of the Deathless Ninjas', 'Karimata, Sadayoshi']
animeVoices	['Yajima, Akiko', 'Wakamoto, Norio', 'Mugihito', 'Aono, Takeshi', 'Nakata, Kouji']
animeStaff	[['Takaya, Hirotoshi', 'Director, Storyboard, Animation Director, Key Animation, Character Design'], ['Kobayashi, Katsuyoshi', 'Sound Director'], ['Wada, Kaoru', 'Music'], ['Fujita, Kazuhiro', 'Original Creator']]
