animeTitle	Yamasuki, Yamazaki
animeType	Music
animeNumEpisode	1
releaseDate	2013-01-01 00:00:00
endDate	
animeNumMembers	182
animeScore	
animeUsers	
animeRank	14405
animePopularity	16377
animeDescription	When you're insanely happy, you're so happy to be happy, that you forget what made you happy. Shishi Yamazaki’s graduation film featuring the tracks Yama Yama and Kashi Kofima by musical group Yamazaki.
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
