animeTitle	b'Yakusai Kochou'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.35
animeUsers	914
animeRank	
animePopularity	
animeDescription	"b""Spirits begin terrorizing a school and it is left up to the sexy student Kocho Enoki to use her attractive body and magical powers to defeat the attackers. Teamed with her sister and Kosaku, their human decoy, they attempt to free the school from the spirits. Unfortunately a female spirit arrives who is immune to Kocho's sexy charms. \n\n(Source: ANN)"""
animeRelated	[]
animeCharacters	[b'Enoki, Kochou', b'Noriko', b'Kamo, Taichi', b'Kiyomaru', b'Urano, Kousaku', b'Takashi', b'Enno, Koran']
animeVoices	[b'\nIkezawa, Haruna\nJapanese\n', b'\nOdagi, Mie\nJapanese\n', b'\nIshii, Kouji\nJapanese\n', b'\nToochika, Kouichi\nJapanese\n', b'\nUgaki, Hidenari\nJapanese\n', b'\nKusachi, Fumie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nYoshida, Tooru\n\nDirector\n\n', b'\nTanaka, Kazuya\n\nSound Director\n\n', b'\nAsakawa, Hiroko\n\nTheme Song Performance\n\n', b'\nSahashi, Toshihiko\n\nMusic\n\n']
