animeTitle	Kisaku
animeType	OVA
animeNumEpisode	6
releaseDate	2002-01-25 00:00:00
endDate	2003-03-28 00:00:00
animeNumMembers	2909
animeScore	6.4
animeUsers	962
animeRank	
animePopularity	8454
animeDescription	Kisaku, professional letch and all-purpose pervert, is the best when it comes to blackmailing the local women into performing lurid sex acts. While quality is preferable over quantity, Kisaku has some plans for both.
animeRelated	['Shusaku', 'Isaku', 'Isaku: Respect', 'Kisaku Spirit']
animeCharacters	['Itou, Kisaku']
animeVoices	['Tsuji, Shinpachi']
animeStaff	[['Yokoyama, Hiromi', 'Director, Episode Director'], ['Takahashi, Takeo', 'Storyboard'], ['ELF Corporation', 'Original Creator']]
