animeTitle	Lupin III: Prison of the Past
animeType	Special
animeNumEpisode	1
releaseDate	2019-11-29 00:00:00
endDate	
animeNumMembers	
animeScore	6.84
animeUsers	1026
animeRank	
animePopularity	8105
animeDescription	"The episode focuses on Lupin's gang descending upon the Kingdom of Dorrente in order to rescue a famous thief who has been detained. While this takes place, the most notorious thieves from around the world gather in the kingdom.

(Source: MAL News)"
animeRelated	['Lupin III']
animeCharacters	['Lupin III, Arsene', 'Jigen, Daisuke', 'Mine, Fujiko', 'Ishikawa XIII, Goemon', 'Zenigata, Kouichi', 'Yatagarasu, Gorou', 'Dynamite Joe', 'Announcer', 'Scarlthos', 'Berthe']
animeVoices	['Kurita, Kanichi', 'Kobayashi, Kiyoshi', 'Sawashiro, Miyuki', 'Namikawa, Daisuke', 'Yamadera, Kouichi', 'Shimazaki, Nobunaga', 'Miyake, Kenta', 'Watanabe, Eriko', 'Sakazume, Takayuki', 'Miki, Shinichiro']
animeStaff	[['Tsuji, Hatsuki', 'Director'], ['Nishida, Shatner', 'Script'], ['Monkey Punch', 'Original Creator'], ['Oono, Yuuji', 'Music']]
