animeTitle	b'Kara no Kyoukai Remix: Gate of Seventh Heaven'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.58
animeUsers	17472
animeRank	
animePopularity	
animeDescription	"b""In August of 1995, Mikiya Kokutou meets a young kimono-clad woman named Shiki Ryougi. When he finds out that they go to the same school, he attempts to befriend her. Though her upbringing is unconventional and she herself is strange, Mikiya is not deterred, and Shiki gradually opens up to him. But Mikiya's life will be changed forever by this simple meeting, and in ways that he never imagined, as he begins to see a deadly side to his new friend...\n\n[Written by MAL Rewrite]"""
animeRelated	[b'Kara no Kyoukai: The Garden of Sinners', b'Kara no Kyoukai 1: Fukan Fuukei', b'Kara no Kyoukai 2: Satsujin Kousatsu (Zen)', b'Kara no Kyoukai 3: Tsuukaku Zanryuu', b'Kara no Kyoukai 4: Garan no Dou', b'Kara no Kyoukai 5: Mujun Rasen', b'Kara no Kyoukai 6: Boukyaku Rokuon']
animeCharacters	[b'Ryougi, Shiki', b'Aozaki, Touko', b'Kokutou, Mikiya', b'Kokutou, Azaka', b'Araya, Souren', b'Enjou, Tomoe']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nHiramatsu, Masaki\n\nScript\n\n', b'\nKajiura, Yuki\n\nTheme Song Lyrics, Theme Song Arrangement, Theme Song Composition\n\n', b'\nNasu, Kinoko\n\nOriginal Creator\n\n', b'\nKalafina\n\nInserted Song Performance\n\n']
