animeTitle	Spiral: Suiri no Kizuna
animeType	TV
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	7.24
animeUsers	20436
animeRank	
animePopularity	2525
animeDescription	"Ayumu Narumi has lived all his life in the shadow of his famous detective brother, Kiyotaka. However, Kiyotaka disappeared two years ago, leaving behind his wife Madoka and Ayumu himself, along with a cryptic message about the ""Blade Children.""

One day, a girl at Ayumu's school suddenly dies. What seemed like a suicide at first glance turns out to be a murder, and Ayumu is the prime suspect. While investigating the person responsible for framing him, he discovers that the mysterious Blade Children are involved—and they somehow know Kiyotaka personally. Ayumu soon finds out just how dangerous the Blade Children are and learns that, in reality, he and Kiyotaka are intertwined more closely than he had ever believed.

[Written by MAL Rewrite]"
animeRelated	['Spiral: Suiri no Kizuna']
animeCharacters	['Narumi, Ayumu', 'Rutherford, Eyes', 'Yuizaki, Hiyono', 'Takeuchi, Rio', 'Asazuki, Kousuke', 'Hilbert, Kanone', 'Takamachi, Ryoko', 'Narumi, Madoka', 'Shiranagatani, Sayoko', 'Narumi, Kiyotaka']
animeVoices	['Suzumura, Kenichi', 'Ishida, Akira', 'Asano, Masumi', 'Horie, Yui', 'Kusao, Takeshi', 'Nojima, Kenji', 'Kato, Hitomi', 'Mitsuishi, Kotono', 'Nakahara, Mai', 'Inoue, Kazuhiko']
animeStaff	[['Cook, Justin', 'Producer'], ['Watson, Barry', 'Producer'], ['Hosoda, Mamoru', 'Director, Storyboard'], ['Kaneko, Shingo', 'Director, Episode Director, Storyboard, Key Animation']]
