animeTitle	Tatakae!! Ramenman (Movie)
animeType	Movie
animeNumEpisode	1
releaseDate	1988-07-09 00:00:00
endDate	
animeNumMembers	
animeScore	5.83
animeUsers	142
animeRank	
animePopularity	12778
animeDescription	"Theatrical film of the anime series Tatakae!! Ramenman, based on the manga chapter ""Strike the Darkness"".

It was released in Japan on July 9, 1988 and is set sometime after the Mongol Tiger two-parter.

(Source: Kinnikuman Wiki)"
animeRelated	['Tatakae!! Ramenman']
animeCharacters	['Ramenman, Victory', 'Shumai', 'Qiang-Gui', 'Mercury Charsiuman', 'Dao-Gui', 'Pidan', 'Leyla', 'Mapo', 'Lu Laobing', 'Heise Mowang']
animeVoices	['Mori, Katsuji', 'Matsushima, Minori', 'Hori, Yukitoshi', 'Hashi, Takaya', 'Totani, Kouji', 'Ootsuka, Houchuu', 'Tsuru, Hiromi', 'Sugiyama, Kazuko', 'Emori, Hiroko', 'Kobayashi, Kiyoshi']
animeStaff	[['Yudetamago', 'Original Creator'], ['Konno, Yasuyuki', 'Sound Effects'], ['Oku, Keiichi', 'Music'], ['Shirato, Takeshi', 'Key Animation']]
