animeTitle	Nihonbashi Koukashita R Keikaku
animeType	Music
animeNumEpisode	1
releaseDate	2012-04-04 00:00:00
endDate	
animeNumMembers	
animeScore	6.6
animeUsers	1989
animeRank	
animePopularity	7963
animeDescription	Music video for Jin's seventh published song, created for IA Project's compilation album IA/01 -BIRTH-.
animeRelated	['World Calling']
animeCharacters	['IA']
animeVoices	[]
animeStaff	[['Hosogane, Takuya', 'Director'], ['Jin', 'Theme Song Lyrics, Theme Song Composition, Theme Song Arrangement'], ['IA', 'Theme Song Performance'], ['Akasaka, Aka', 'Original Character Design']]
