animeTitle	Dragoon
animeType	OVA
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	5.71
animeUsers	476
animeRank	
animePopularity	9984
animeDescription	"In the great Garubado Empire, a lethal weapon is in the process of being manufactured, but is stolen and subsequently lost in battle. Now the Empire is looking for this weapon: a girl that can call forth the ""Dragoon"" power. She has amnesia and is found by a wandering swordsman in training by who vows to help her find out who she is and why she has such a strange power. "
animeRelated	[]
animeCharacters	['Myuu', 'Keeves Fearudo, Rain', 'Caliver, Millie', 'Caliver, Sedi', 'Bashua', 'Bapu', 'Randy', 'Gabriel', 'Lilith', 'Ganto']
animeVoices	['Kouda, Mariko', 'Seki, Toshihiko', 'Miyamura, Yuko', 'Ishida, Akira', 'Ootsuka, Akio', 'Sonozaki, Mie', 'Koyasu, Takehito', 'Iizuka, Shouzou', 'Imai, Yuka', 'Matsumoto, Dai']
animeStaff	[['Maejima, Kenichi', 'Director, Storyboard'], ['Imai, Yuka', 'Theme Song Performance'], ['Nishimura, Satoshi', 'Mechanical Design'], ['Campbell, Charles', 'ADR Director, Editing']]
