animeTitle	b'Kaze no Shoujo Emily'
animeType	b'TV'
animeNumEpisode	26
releaseDate	
endDate	
animeNumMembers	
animeScore	7.39
animeUsers	1975
animeRank	
animePopularity	
animeDescription	b'Based on the Emily of New Moon novel by Lucy Maud Montgomery. Emily is an orphan who gets sent to live with her relatives on Prince Edward Island, after her father dies. In New Moon she lives with her Aunt Elizabeth, Aunt Laura, and Cousin Jimmy, and learns to adapt with the help of her imagination and new friends. \n\n(Source: ANN)\n'
animeRelated	[]
animeCharacters	[b'Byrd Starr, Emily', b'Miller, Perry', b'Murray, Elizabeth', b'Kent, Teddy', b'Burnley, Ilse', b'Murray, Jimmy', b'Murray, Laura']
animeVoices	[b'\nKawakami, Tomoko\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nFujita, Toshiko\nJapanese\n', b'\nMiyata, Kouki\nJapanese\n', b'\nKojima, Sachiko\nJapanese\n', b'\nNaya, Rokurou\nJapanese\n', b'\nIkeda, Masako\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKosaka, Harume\n\nDirector\n\n', b'\nKoyama, Satoru\n\nSound Director\n\n', b'\nKaburagi, Hiro\n\nEpisode Director\n\n', b'\nNigorikawa, Atsushi\n\nEpisode Director, Storyboard\n\n']
