animeTitle	b'Kikansha Yaemon'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'Animated 3D movie based on a bestseller picture book by Agawa Hiroyuki, illustrated by Okabe Fuyuhiko and published in 1959 by Iwanami Shoten Publishing.'
animeRelated	[b'Kikansha Yaemon: D51 no Daibouken']
animeCharacters	[b'Yaemon']
animeVoices	[b'\nChii, Takeo\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKoyama, Takao\n\nScript\n\n', b'\nTakaki, Hiroshi\n\nMusic\n\n']
