animeTitle	Gurazeni
animeType	TV
animeNumEpisode	12
releaseDate	2018-04-06 00:00:00
endDate	2018-06-22 00:00:00
animeNumMembers	
animeScore	6.36
animeUsers	3755
animeRank	
animePopularity	5152
animeDescription	"This is the story of Natsunosuke Honda, a pro baseball player—a relief pitcher who has been playing pro in a team called Spiders for 8 years. The team operates as a highly-stratified society, where the player's performance determines his annual salary. Natsunosuke is one of the highest paid players in the game. He measures how good players are by how much money they make, and he intends to be on top and stay there, and as such is always looking for players to challenge and does everything to insure that he is better than they are.

(Source: MAL News)"
animeRelated	['Gurazeni', 'Gurazeni Season 2']
animeCharacters	['Bonda, Natsunosuke', 'Okita', 'Manda', 'Kitamura', 'Toukou, Junji', 'Yoshiki', 'Sekiya, Masamitsu', 'Misato', 'Tominaga', 'Degawa']
animeVoices	['Ochiai, Fukushi', 'Nose, Ikuji', 'Hirose, Jun', 'Kawada, Shinji', 'Inada, Tetsu', 'Yamamoto, Kanehira', 'Takahashi, Hiroki', 'Takahashi, Shinya', 'Nakamura, Kazumasa', 'Koyanagi, Motoi']
animeStaff	[['Watanabe, Ayumu', 'Director'], ['Tsujitani, Kouji', 'Sound Director'], ['Takayashiki, Hideo', 'Script, Series Composition'], ['Saito, Noriaki', 'Storyboard']]
