animeTitle	Jim Button
animeType	TV
animeNumEpisode	26
releaseDate	1974-10-04 00:00:00
endDate	1975-03-28 00:00:00
animeNumMembers	386
animeScore	
animeUsers	
animeRank	16392
animePopularity	13677
animeDescription	Jim Button and his best friend Luke live on an island. When Luke has to leave the island Jim decides to go with him. when they leave they don't have a clue about the hidden dangers in the world. while traveling they learn that a young princess name Lisi was captured by pirates whom brought her to Sorrowland. The evil and dangerous dragon miss. Grindtooth rules in that land. Jim and Luke decide to go to Sorrowland to save princess Lisi.
animeRelated	[]
animeCharacters	['Button, Jim', 'Pokko', 'Captain Kid']
animeVoices	['Oota, Yoshiko', 'Matsuo, Yoshiko', 'Takiguchi, Junpei']
animeStaff	"[['Rintaro', 'Episode Director'], ['Takagaki, Kouzou', 'Episode Director'], ['Horie, Mitsuko', 'Theme Song Performance'], [""Koorogi '73"", 'Theme Song Performance, Inserted Song Performance']]"
