animeTitle	Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi
animeType	Movie
animeNumEpisode	1
releaseDate	1994-08-20 00:00:00
endDate	
animeNumMembers	
animeScore	7.54
animeUsers	7051
animeRank	
animePopularity	4646
animeDescription	"Set during the Inter High Championships, Shohoku take on Tsukubu, one of this year's dark horses. It's a clash of acquaintances as Anzai will face his former student which is now the coach of Tsukubu, while Akagi & Kogure meet Godai their former classmate and Tsukubu's captain. Finally Sakuragi is irked by the presence of Nango, Tsukubu's center, who vies for Haruko's attention.

(Source: ANN)"
animeRelated	['Slam Dunk']
animeCharacters	['Sakuragi, Hanamichi', 'Mitsui, Hisashi', 'Rukawa, Kaede', 'Miyagi, Ryouta', 'Akagi, Takenori', 'Mito, Youhei', 'Akagi, Haruko', 'Anzai, Mitsuyoshi', 'Maki, Shinichi', 'Kogure, Kiminobu']
animeVoices	['Kusao, Takeshi', 'Okiayu, Ryoutarou', 'Midorikawa, Hikaru', 'Shioya, Yoku', 'Yanada, Kiyoyuki', 'Morikawa, Toshiyuki', 'Hiramatsu, Akiko', 'Nishimura, Tomomichi', 'Egawa, Hisao', 'Tanaka, Hideyuki']
animeStaff	[['WANDS', 'Theme Song Performance'], ['Inoue, Takehiko', 'Original Creator'], ['Hosoda, Mamoru', 'Key Animation'], ['Kagami, Takahiro', 'Assistant Animation Director']]
