animeTitle	Terra Formars: Bugs 2-hen
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	7.18
animeUsers	18334
animeRank	
animePopularity	3101
animeDescription	Adaptation of the Bugs 2 arc of the manga.
animeRelated	['Terra Formars']
animeCharacters	['Komachi, Shoukichi', 'Thien', 'Davis, Donatello K.', 'Akita, Nanao', 'Hiruma, Ichirou', 'Lee, God', 'Bergsmuller, Redon', 'Blight, Toshio', 'Snorresson, Luke', 'Goodman, Gerald']
animeVoices	['Kiuchi, Hidenobu', 'Hashizume, Tomohisa', 'Koyama, Rikiya', 'Kawasumi, Ayako', 'Sugita, Tomokazu', 'Tsuda, Kenjirou', 'Sakurai, Tooru', 'Ueda, Youji', 'Kosugi, Juurouta']
animeStaff	[['Hamasaki, Hiroshi', 'Director, Storyboard'], ['Yamaguchi, Takayuki', 'Sound Director'], ['Ozaki, Takaharu', 'Assistant Director'], ['Yasukawa, Shougo', 'Series Composition']]
