animeTitle	Ex-Arm
animeType	TV
animeNumEpisode	12
releaseDate	2021-01-11 00:00:00
endDate	2021-03-29 00:00:00
animeNumMembers	68177
animeScore	2.96
animeUsers	13860
animeRank	12003
animePopularity	2087
animeDescription	"After being hit by a truck in the year 2014, Akira Natsume awakes to find himself inside a machine following a 16-year-long coma. As he adjusts to the new interface, he is greeted by police officer Minami Uezono and her android partner Alma. The pair shows Akira that his brain is contained inside a device called an EX-ARM—a weapon of mass destruction. Aboard an enemy smuggler ship, the three must escape using nothing but their ingenuity and combat skills.

While initially reluctant to fight, Akira soon recalls his brother's words from before the accident. The memory inspires him to take action, possessing Alma's body to fight his opponents using martial arts. Once Alma plugs him into one of the ship's ports, he discovers the devastating potential of his EX-ARM by effortlessly hacking and assuming control of the vessel.

Upon safely arriving back on land, Akira meets the other members of the EX-ARM Countermeasure Prevention Team, a police division working to mitigate the effects of EX-ARMs. Witnessing the atrocities committed by those who seek the power of EX-ARMs, he resolves to join the team and put an end to the terror caused by these weapons.

[Written by MAL Rewrite]"
animeRelated	['Ex-Arm']
animeCharacters	['Natsume, Akira', 'Alma', 'Uezono, Minami', 'Kondou', 'Through Hand', 'Yggdrasil', 'Kimura', 'Shiga, Soushi', 'Himegami, Alisa', 'Souma']
animeVoices	['Saitou, Souma', 'Kitou, Akari', 'Komatsu, Mikako', 'Kuroda, Takaya', 'Tomita, Miyu', 'Namikawa, Daisuke', 'Ishikawa, Yui', 'Kobayashi, Yuu']
animeStaff	[['Kimura, Yoshikatsu', 'Director'], ['Komi, Shinya', 'Original Character Design'], ['HiRock', 'Original Creator'], ['Morton, Tommy', 'Series Composition']]
