animeTitle	b'Motto! Majime ni Fumajime Kaiketsu Zorori'
animeType	b'TV'
animeNumEpisode	25
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	b'No synopsis information has been added to this title. Help improve our database by adding a synopsis here.'
animeRelated	[b'Majime ni Fumajime Kaiketsu Zorori', b'Kaiketsu Zorori Movie: ZZ no Himitsu', b'Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season']
animeCharacters	[b'Zorori', b'Ishishi', b'Noshishi', b'Beat']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nOgata, Takahide\n\nDirector\n\n', b'\nTanaka, Kouhei\n\nMusic\n\n', b'\nTomioka, Atsuhiro\n\nSeries Composition\n\n', b'\nFunakoshi, Hideyuki\n\nCharacter Design\n\n']
