animeTitle	Karrimor Mountain Club 2
animeType	ONA
animeNumEpisode	3
releaseDate	2019-04-14 00:00:00
endDate	
animeNumMembers	133
animeScore	
animeUsers	
animeRank	16624
animePopularity	17271
animeDescription	The second season of animated commercials produced by Karrimor Japan to promote their Mountain Club line of hiking rucksacks and explain their various features. In this season, we follow Camilo's sister Caroline, as she ventures into the great outdoors with the help of Dr. Bird.
animeRelated	['Karrimor Mountain Club']
animeCharacters	['Caroline', 'Dr. Bird', 'Camilo']
animeVoices	['Kitamura, Eri', 'Ootsuka, Akio']
animeStaff	[['Katayama, Takuto', 'Key Animation, Character Design']]
