animeTitle	Kamisama Dolls
animeType	TV
animeNumEpisode	13
releaseDate	2011-07-06 00:00:00
endDate	2011-09-28 00:00:00
animeNumMembers	67554
animeScore	7.02
animeUsers	27986
animeRank	3717
animePopularity	2094
animeDescription	Kyouhei, after moving away to Tokyo from his old town to get away from the events that happened, is on a goukon with his friends, including his old neighbor, Shiba. After drinking for a whole night, he and Shiba discover a dead, bloody body in the elevator. He is told by his younger sister, Utao with her Kamisama Doll, that Aki, an old friend, and his Doll are the culprits responsible. 
animeRelated	['Kamisama Dolls', 'Kamisama Dolls Specials']
animeCharacters	['Kuga, Aki', 'Kuga, Utao', 'Kuga, Kyouhei', 'Shiba, Hibino', 'Hyuuga, Mahiru', 'Karahari, Kuuko', 'Hyuuga, Koushirou', 'Somaki, Moyako', 'Karahari, Kyousuke', 'Somaki, Yurako']
animeVoices	['Kimura, Ryouhei', 'Fukuen, Misato', 'Okamoto, Nobuhiko', 'Kayano, Ai', 'Hanazawa, Kana', 'Sawashiro, Miyuki', 'Murase, Katsuki', 'Takagaki, Ayahi', 'Kirimoto, Takuya', 'Yamaguchi, Rie']
animeStaff	[['Kishi, Seiji', 'Director, Sound Director'], ['Takadera, Takeshi', 'Sound Director'], ['Kosaka, Harume', 'Episode Director'], ['Namura, Hidetoshi', 'Episode Director, Key Animation']]
