animeTitle	b'Armed Blue Gunvolt'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.67
animeUsers	1986
animeRank	
animePopularity	
animeDescription	b'In the near future, there are people with special power called Sevens. It seems like the country has maintained peace by a company called Sumeragi Group, but they are the one who captured the people with the special power by force and did inhumane experiments. Gunvolt, the main character who has the power of Sevens, used to be in Feather, a resistant group who fought against the Sumeragi Group. The story begins with meeting the heroine, Sian.\n\n(Source: MAL News)'
animeRelated	[]
animeCharacters	[b'Gunvolt', b'Morpho', b'Cyan', b'Tsukuyomi, Shiden']
animeVoices	[b'\nIshikawa, Kaito\nJapanese\n', b'\nSakuragawa, Megu\nJapanese\n', b'\nMurase, Ayumu\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nOdaka, Yoshinori\n\nProducer, Director, Storyboard\n\n', b'\nMurakoshi, Shigeru\n\nScript\n\n', b'\nSakuragawa, Megu\n\nInserted Song Performance\n\n', b'\nAihara, Satoshi\n\nEditing\n\n']
