animeTitle	Calbee Hitokuchi Gekijou
animeType	Special
animeNumEpisode	18
releaseDate	2014-08-11 00:00:00
endDate	2015-09-10 00:00:00
animeNumMembers	167
animeScore	
animeUsers	
animeRank	15097
animePopularity	16623
animeDescription	A series of short commercials advertising Calbee's snack products. The first commercial, which premiered in August, was made to mark the 50th anniversary of the company's Kappa Ebisen snack. 
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
