animeTitle	Trinity Seven: Nanatsu no Taizai to Nana Madoushi
animeType	OVA
animeNumEpisode	1
releaseDate	2015-03-25 00:00:00
endDate	
animeNumMembers	
animeScore	7.37
animeUsers	64505
animeRank	
animePopularity	1405
animeDescription	Arata is set to be expelled! The only way to save himself is to be taught more about the magic archives from the Trinity Seven themselves.
animeRelated	['Trinity Seven']
animeCharacters	['Kasuga, Arata', 'Kazama, Levi', 'Asami, Lilith', 'Sherlock, Lieselotte', 'Kurata, Yui', 'Kannazuki, Arin', 'Yamana, Mira', 'Fudou, Akio', 'Sora', 'Biblia Gakuenchou']
animeVoices	['Matsuoka, Yoshitsugu', 'Sakura, Ayane', 'Hara, Yumi', 'Touyama, Nao', 'Murakawa, Rie', 'Uchida, Aya', 'Hikasa, Youko', 'Yuzuki, Ryouka', 'Kugimiya, Rie', 'Miki, Shinichiro']
animeStaff	[['Nao, Akinari', 'Original Character Design'], ['Saitou, Kenji', 'Original Creator']]
