animeTitle	b'Parasite Dolls'
animeType	b'OVA'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.55
animeUsers	4561
animeRank	
animePopularity	
animeDescription	"b""A secret unit of the AD Police, known as Branch, specializes in crimes involving humanoid robots called 'Boomers'. Branch officer Buzz must cope with having a Boomer for a partner, while officer Michaelson finds the line between human and robot to be a thin one. Together they serve to protect a world that is slowly deconstructing around them. Set in the Bubblegum Crisis universe. \n\n(Source: ANN)"""
animeRelated	[b'A.D. Police (TV)']
animeCharacters	[b'Nikvest, Basil', b'Kimball, Rod', b'Michaelson, Reiko', b'Lynch, Elza', b'Myers, Bill']
animeVoices	[b'\nInoue, Kazuhiko\nJapanese\n', b'\nUchida, Soumei\nJapanese\n', b'\nOkamura, Akemi\nJapanese\n', b'\nInoue, Kikuko\nJapanese\n', b'\nFurukawa, Toshio\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nNakazawa, Kazuto\n\nDirector, Script, Key Animation\n\n', b'\nYoshinaga, Naoyuki\n\nDirector\n\n', b'\nKonaka, Chiaki\n\nScript, Series Composition\n\n', b'\nOnda, Naoyuki\n\nAnimation Director\n\n']
