animeTitle	Uchuu no Kishi Tekkaman Blade II
animeType	OVA
animeNumEpisode	6
releaseDate	1994-07-21 00:00:00
endDate	1995-04-21 00:00:00
animeNumMembers	
animeScore	6.28
animeUsers	1567
animeRank	
animePopularity	7795
animeDescription	"10 years have passed since the end of the last war against the radam. A new team of Space Knights has been assembled under the lead of Aki and D-boy. The first mission of the new tekkaman is to defeat the radam but then, they have to fight against a remnent from the past.

(Source: ANN)"
animeRelated	['Uchuu no Kishi Tekkaman Blade', 'Uchuu no Kishi Tekkaman Blade II: Virgin Memory']
animeCharacters	['Aiba, Takaya', 'Kisaragi, Aki', 'End, Dead', 'Francois, Yumi', 'Honda', 'Anita', 'Kruegel, David', 'Goliate', 'Hayato', 'Pablochiva, Natasha']
animeVoices	['Morikawa, Toshiyuki', 'Hayashibara, Megumi', 'Yuuki, Hiro', 'Kouda, Mariko', 'Iizuka, Shouzou', 'Watanabe, Kumiko', 'Okiayu, Ryoutarou', 'Aizawa, Masaki', 'Takagi, Wataru', 'Honda, Chieko']
animeStaff	[['Tonokatsu, Hideki', 'Director'], ['Tanaka, Hideyuki', 'Sound Director'], ['Kawasaki, Hiroyuki', 'Script'], ['Okui, Masami', 'Theme Song Performance']]
