animeTitle	Gugure! Kokkuri-san Specials
animeType	Special
animeNumEpisode	11
releaseDate	2014-12-24 00:00:00
endDate	2015-05-27 00:00:00
animeNumMembers	
animeScore	7.2
animeUsers	3863
animeRank	
animePopularity	4698
animeDescription	Short episodes included with the Blu-ray/DVD volumes. 
animeRelated	['Gugure! Kokkuri-san']
animeCharacters	['Ichimatsu, Kohina', 'Kokkuri-san', 'Inugami', 'Shigaraki']
animeVoices	['Sakurai, Takahiro']
animeStaff	[['Masuda, Toshihiko', 'Key Animation'], ['Endou, Midori', 'Original Character Design, Original Creator']]
