animeTitle	Frame Arms Girl Movie: Kyakkya Ufufu na Wonderland
animeType	Movie
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.86
animeUsers	411
animeRank	
animePopularity	7448
animeDescription	A compilation movie of the TV series containing a newly added footage.
animeRelated	['Frame Arms Girl']
animeCharacters	['Baselard', 'Gennai, Ao', 'Gourai', 'Jinrai', 'Architect', 'Materia, Shiro', 'Materia, Kuro', 'Stylet', 'Hresvelgr', 'Kotobuki, Bukiko']
animeVoices	['Nagae, Rika', 'Hikasa, Youko', 'Kaho, Narumi', 'Kabayama, Minami', 'Yamamura, Hibiku', 'Yamazaki, Erii', 'Ayase, Yuu', 'Izawa, Kanomi']
animeStaff	[['Nagae, Rika', 'Theme Song Performance'], ['Ayase, Yuu', 'Theme Song Performance'], ['Kaho, Narumi', 'Theme Song Performance'], ['Shimada, Humikane', 'Mechanical Design']]
