animeTitle	b'UFO Princess Valkyrie 2: Juunigatsu no Yasoukyoku'
animeType	b'TV'
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	6.95
animeUsers	3834
animeRank	
animePopularity	
animeDescription	"b'Valkyrie, Kazuto, Akina, Hydra, and friends are back for more when the Key of time suddenly appears along with many other mysterious happenings. All seemed to be linked to a person named ""Valkyrie Ghost"" whose only goal is stealing Kazuto for herself. As they team up against this seeming unbeatable foe they dig deeper into the mysterious past of Valkyrie\'s home planet, Valhalla.\n\n(Source: ANN)'"
animeRelated	[b'UFO Princess Valkyrie', b'UFO Princess Valkyrie 3: Seiresetsu no Hanayome']
animeCharacters	[b'Valkyrie', b'Sanada', b'Valkyrie Ghost', b'Tokino, Kazuto', b'Hydra', b'Laine', b'Chorus', b'Akidra', b'Wakitani, Aiko', b'Shirokenhaimu']
animeVoices	[b'\nOgata, Megumi\nJapanese\n', b'\nTanaka, Rie\nJapanese\n', b'\nSuzumura, Kenichi\nJapanese\n', b'\nKuwashima, Houko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nIwasaki, Tarou\n\nEpisode Director, Storyboard\n\n', b'\nTanaka, Rie\n\nTheme Song Performance\n\n', b'\nChiba, Saeko\n\nTheme Song Performance\n\n', b'\nHinata, Megumi\n\nTheme Song Performance, Theme Song Lyrics, Theme Song Composition\n\n']
