animeTitle	Musuko no Tomodachi ni Okasarete
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.32
animeUsers	1714
animeRank	
animePopularity	7298
animeDescription	"Yoko is happy. She lives a peaceful life with her husband, Masahiko, and their son, Kazushi. But there is one thing she complains... They haven't had sex for a long time. One day, a friend of Kazushi comes to her house. His name is Ryouto. He is handsome and polite. But she doesn't know yet that Ryouto has a secret personality... 

(Source: AniDB) "
animeRelated	[]
animeCharacters	['Serimiya, Youko', 'Mitsuka, Misao', 'Serimiya, Kazushi', 'Mitsuka, Ryoto', 'Serimiya, Masahiko', 'Serimiya, Kana', 'Konami']
animeVoices	[]
animeStaff	[['Yoneda, Mitsuhiro', 'Director'], ['Oda, Non', 'Original Creator'], ['Suginami, Daifuku', 'Key Animation'], ['Tsubone, Kentarou', 'Editing']]
