animeTitle	b'Days (TV)'
animeType	b'TV'
animeNumEpisode	24
releaseDate	
endDate	
animeNumMembers	
animeScore	7.17
animeUsers	55046
animeRank	
animePopularity	
animeDescription	b'The series is about two boys named Tsukushi and Jin. Tsukushi is a boy with no special talent or traits while Jin is considered a soccer genius. On one stormy night, Jin meets Tsukushi, and they get dragged into the world of soccer.\n\n(Source: MAL News)'
animeRelated	[b'Days', b'Days (TV) OVA', b'Days: Touin Gakuen-sen!']
animeCharacters	[b'Tsukamoto, Tsukushi', b'Kazama, Jin', b'Mizuki, Hisahito', b'Kimishita, Atsushi', b'Ubukata, Chikako', b'Ooshiba, Kiichi', b'Usui, Yuuta', b'Haibara, Jirou', b'Indou, Kaoru', b'Nakijin, Shou']
animeVoices	[b'\nYoshinaga, Takuto\nJapanese\n', b'\nMatsuoka, Yoshitsugu\nJapanese\n', b'\nNamikawa, Daisuke\nJapanese\n', b'\nOno, Daisuke\nJapanese\n', b'\nIse, Mariya\nJapanese\n', b'\nMiyano, Mamoru\nJapanese\n', b'\nSakurai, Takahiro\nJapanese\n', b'\nShimono, Hiro\nJapanese\n', b'\nSeki, Tomokazu\nJapanese\n', b'\nToyonaga, Toshiyuki\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUda, Kounosuke\n\nDirector\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nMinakami, Seishi\n\nScript\n\n', b'\nMiyano, Mamoru\n\nTheme Song Performance\n\n']
