animeTitle	Minori Scramble!
animeType	OVA
animeNumEpisode	1
releaseDate	2012-02-15 00:00:00
endDate	
animeNumMembers	3139
animeScore	6.24
animeUsers	1461
animeRank	7485
animePopularity	8255
animeDescription	"Tamaki is an elementary school girl. Her father Dr. Yagiyama loves penguins and his excessive lectures about penguins makes Tamaki hate them. In order to get rid of her hatred of penguins, he engineers the penguin-roid ""Minori"". Tamaki and Minori run about the neighborhood to solve troubles caused by her father."
animeRelated	[]
animeCharacters	['Yagiyama, Tamaki', 'Minori', 'Akira', 'Dr. Yagiyama']
animeVoices	['Igarashi, Hiromi', 'Akutsu, Kana', 'Takai, Maika']
animeStaff	[['Iwakami, Atsuhiro', 'Producer'], ['Nonaka, Takuya', 'Director, Episode Director, Storyboard'], ['Motoyama, Satoshi', 'Sound Director'], ['Hiramatsu, Masaki', 'Script']]
