animeTitle	Idol Time PriPara
animeType	TV
animeNumEpisode	51
releaseDate	
endDate	
animeNumMembers	
animeScore	7.16
animeUsers	1179
animeRank	
animePopularity	6938
animeDescription	"The story focuses on Yui, a girl who lives in the town of Paparajuku, and who dreams of being an idol, even if she realizes that being an idol is next to impossible for her. Her friends often remark on how much she dreams about it. But then, the PriPara idol theme park opens in her town, and that an idol named Laala is coming to town from Parajuku, which only makes Yui dream even bigger. The new PriPara theme park has been updated with new concepts. However, due to a system error, Laala is no longer able to PriPara Change.

(Source: ANN)"
animeRelated	['PriPara', '', 'PriPara & Kiratto Pri☆chan Movie: Kirakira Memorial Live']
animeCharacters	['Manaka, Laala', 'Yumekawa, Yui', 'Nijiro, Nino', 'Kouda, Michiru', 'Houjou, Sophie', 'Minami, Mirei', 'Vocaldoll, Falulu', 'Shikyouin, Hibiki', 'West, Leona', 'Ageha, Mia']
animeVoices	['Akaneya, Himika', 'Date, Arisa', 'Taichi, You', 'Yamada, Yuina', 'Kubota, Miyu', 'Serizawa, Yuu', 'Wakai, Yuuki', 'Ookubo, Rumi']
animeStaff	[['Moriwaki, Makoto', 'Director, Episode Director, Storyboard'], ['Ookubo, Masao', 'Episode Director, Storyboard, Key Animation'], ['Satou, Masafumi', 'Episode Director, Storyboard, Assistant Director'], ['Katou, Kanichi', 'Script']]
