animeTitle	Satsujin Kippu wa Heart-iro
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	5.39
animeUsers	313
animeRank	
animePopularity	11628
animeDescription	"A detective story about a murder on a train based on a series of young-adult novels for women by Yamaura Hiroyasu. Seiko, while suspended from school (she has been bullied) goes to Nagasaki, where she finds herself involved in a murder mystery. 

(Source: Shoujo & General Weblog)"
animeRelated	['Satsujin Kippu wa Heart-iro']
animeCharacters	"['Misora, Chuuta', 'Nagare, Seiko', 'Gonbei', 'Waiter', 'Obasan', 'Detective', 'Kataoka, Tetsuo', 'Totsugawa, Misako', ""Misako's Father"", 'Okiku-san']"
animeVoices	['Seki, Toshihiko', 'Matsuoka, Miyuki', 'Sawaki, Ikuya', 'Ono, Kenichi', 'Takano, Urara', 'Hirose, Masashi', 'Jinnai, Tatsuyuki', 'Doi, Mika', 'Masuoka, Hiroshi', 'Nunami, Terue']
animeStaff	[['Fujiyama, Fusanobu', 'Sound Director'], ['Oota, Takako', 'Theme Song Performance'], ['Miyazaki, Akira', 'Screenplay'], ['Kageyama, Isamu', 'Art Director']]
