animeTitle	Benpiyaku Colace
animeType	ONA
animeNumEpisode	7
releaseDate	2014-07-31 00:00:00
endDate	2016-01-04 00:00:00
animeNumMembers	132
animeScore	
animeUsers	
animeRank	14985
animePopularity	17305
animeDescription	"Taisho Pharmaceutical commissioned commercials for their new Benpiyaku Colace anti-constipation medicine. It features an intestinal-stressed struggling doe as she encounters other animals who can easily ""go""."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
