animeTitle	Hamuko Mairu!
animeType	OVA
animeNumEpisode	1
releaseDate	1996-06-29 00:00:00
endDate	
animeNumMembers	170
animeScore	
animeUsers	
animeRank	15904
animePopularity	16565
animeDescription	A shinobi sets out to rescue kidnapped rare animals.
animeRelated	['Hamuko Mairu!']
animeCharacters	['Yokoguruma, Oshizou', 'Sou, Seiji', 'Uinna, Kimiko']
animeVoices	['Yamada, Keaton', 'Matsumoto, Rica', 'Koujiro, Chie']
animeStaff	[['Yasumi, Tetsuo', 'Director, Screenplay'], ['Makaino, Kouji', 'Music'], ['Shibata, Chikako', 'Art Director'], ['Nakajima, Chuji', 'Animation Director, Character Design']]
