animeTitle	b'Licca-chan to Mahou no Kuni'
animeType	b'ONA'
animeNumEpisode	7
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b'Takara Tomy\'s popular doll ""Licca-chan"" got it\'s own animation ""Licca-chan and the Magical World"" produced by DLE Inc.\n\nThis time the theme is a telephone, based on Licca-chan\'s (Rika-chan\'s) phone, and the story has elements that capture the girls\' hearts such as Magic and Becoming a Princess.\n\nAs supporting characters there\'s the vivid colored ""Bear"", a humorous take on princess as ""Ann Queen"" (voiced by Asa Komuro) and other original characters, creating an original scenario.\n\n(Source: DLE,  Inc.)'"
animeRelated	[b'Super Doll Licca-chan', b'Licca-chan Fushigi na Mahou no Ring', b'Licca-chan no Nichiyoubi', b'Licca-chan Fushigi na Fushigi na Yunia Monogatari', b'Licca-chan to Yamaneko Hoshi no Tabi', b'Super Doll Licca-chan: Licca-chan Zettai Zetsumei! Doll Knights no Kiseki']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
