animeTitle	Kyoukaisen
animeType	Music
animeNumEpisode	1
releaseDate	2021-10-10 00:00:00
endDate	
animeNumMembers	629
animeScore	6.98
animeUsers	374
animeRank	3866
animePopularity	12355
animeDescription	"Official music video for the song Kyoukaisen by amazarashi.

The song featured in this music video was also used as the opening theme for the anime 86: Eighty Six Part 2.

(Source: Anilist)"
animeRelated	['86 Part 2']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
