animeTitle	Saa Ikou! Tamagotchi
animeType	TV
animeNumEpisode	12
releaseDate	2007-11-29 00:00:00
endDate	2008-02-14 00:00:00
animeNumMembers	
animeScore	5.8
animeUsers	359
animeRank	
animePopularity	11449
animeDescription	Let's Go! Tamagotchi is an anime series focusing on the lives of Mametchi, Memetchi, Kuchipatchi, ChaMametchi, and their friends. The series premiered in Japan in December 2007, while an English dub was uploaded by Bandai in December 2008. It was originally uploaded a week before the release of the first movie in Japanese.
animeRelated	['Eiga de Toujou! Tamagotchi Dokidoki! Uchuu no Maigotchi!?']
animeCharacters	['Mametchi', 'Memetchi', 'Lovelitchi', 'KuroMametchi']
animeVoices	['Kugimiya, Rie']
animeStaff	[['Mima, Masafumi', 'Sound Director'], ['Tanaka, Kouhei', 'Music'], ['Ooseki, Tatsue', 'Color Design'], ['Ikeda, Shinsuke', 'Director of Photography']]
