animeTitle	Dengeki Bunko 2007 Movie Festival Special
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.18
animeUsers	1984
animeRank	
animePopularity	7235
animeDescription	Played at Dengeki Bunko's Movie Festival on 21 April 2007 before the Shakugan no Shana, Inukami! and Kino no Tabi movies. It was later released on DVD and sold at Dengeki's 15th Anniversary event.
animeRelated	['Shakugan no Shana', 'Kino no Tabi: The Beautiful World', 'Inukami!']
animeCharacters	['Shana', 'Kino', 'Youko', 'Sakai, Yuuji', 'Hermes', 'Kawahira, Keita', 'Yoshida, Kazumi', 'Alastor']
animeVoices	['Kugimiya, Rie', 'Maeda, Ai', 'Horie, Yui', 'Hino, Satoshi', 'Aigase, Ryuji', 'Fukuyama, Jun', 'Kawasumi, Ayako']
animeStaff	[]
