animeTitle	Taimanin Asagi 3
animeType	OVA
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.49
animeUsers	2066
animeRank	
animePopularity	6523
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Taimanin Asagi 3: Koutetsu no Shinigami - Kokawa Asuka-hen', 'Taimanin Asagi 3: Saikyou no Taimanin - Igawa Asagi-hen', 'Taimanin Asagi 3 The Comic', 'Taimanin Asagi 2']
animeCharacters	['Igawa, Asagi', 'Igawa, Sakura', 'Oboro', 'Yatsu, Murasaki', 'Kokawa, Asuka']
animeVoices	['Mori, Juri']
animeStaff	[['Kasahara, Shinpei', 'Director, Episode Director'], ['Makino, Yukihiro', 'Storyboard'], ['Lilith Soft', 'Original Creator'], ['Kagami', 'Original Character Design']]
