animeTitle	Kaisei
animeType	Music
animeNumEpisode	1
releaseDate	2017-08-31 00:00:00
endDate	
animeNumMembers	234
animeScore	5.45
animeUsers	131
animeRank	10537
animePopularity	15536
animeDescription	"An original song by Orangestar featuring the Vocaloid IA, animated by Waboku.

This song was initially featured in the album Re:Start with Hatsune Miku as the vocal, and was released in August 30, 2017."
animeRelated	[]
animeCharacters	[]
animeVoices	[]
animeStaff	[]
