animeTitle	Transformers Zone
animeType	OVA
animeNumEpisode	1
releaseDate	1990-07-21 00:00:00
endDate	
animeNumMembers	
animeScore	5.65
animeUsers	686
animeRank	
animePopularity	9887
animeDescription	"In the distant future, an evil entity known as Violenjiger resurrects nine of the most feared generals in Destron history. While saving some inhabitants of a planet destroyed by these Destrons, Cybertron leader Victory Saber is seriously damaged. The leadership of the Cybertron forces is passed on to the heroic robot Dai-Atlas. Together with Sonic Bomber, Dai-Atlas must protect a mysterious crystal on Earth known as the ""Zodiac"" from falling into the hands of Violenjiger. 

(Source: ANN)"
animeRelated	['Tatakae! Chou Robot Seimeitai Transformers Victory']
animeCharacters	['Jiger, Violen', 'Atlas, Dai', 'Devastator', 'Overlord', 'Predaking', 'Abominus', 'Scorponok', 'Cloud, Star', 'Menasor', 'Whisper']
animeVoices	[]
animeStaff	[['Matano, Hiromichi', 'Director'], ['Mizuki, Ichirou', 'Theme Song Performance'], ['Kawamori, Shouji', 'Mechanical Design'], ['Yuki, Shinzou', 'Art Director']]
