animeTitle	Kyoukai no Kanata: Shinonome
animeType	Special
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.65
animeUsers	54867
animeRank	
animePopularity	1497
animeDescription	"Taking place three years before the TV series, episode zero follows Hiroomi Nase's mission to subdue the infamous half-human, half-youmu Akihito Kanbara. Curious about the mission, Hiroomi's little sister, Mitsuki, tags along with him, and the siblings meet Akihito for the first time. However, they soon discover that they aren't the only ones seeking out Akihito, and thus begins the story of Kyoukai no Kanata.

[Written by MAL Rewrite]
"
animeRelated	['Kyoukai no Kanata']
animeCharacters	['Kuriyama, Mirai', 'Kanbara, Akihito', 'Nase, Hiroomi', 'Nase, Mitsuki', 'Nase, Izumi', 'Shindou, Ayaka', 'Ninomiya, Shizuku', 'Fujima, Miroku']
animeVoices	['Taneda, Risa', 'KENN', 'Suzuki, Tatsuhisa', 'Chihara, Minori', 'Kawasumi, Ayako', 'Shindo, Naomi', 'Watanabe, Akeno', 'Matsukaze, Masaya']
animeStaff	[['Chihara, Minori', 'Theme Song Performance'], ['STEREO DIVE FOUNDATION', 'Theme Song Performance'], ['Ayres, Christopher', 'ADR Director'], ['Kadowaki, Miku', 'Character Design']]
