animeTitle	Furifure The Animation
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.2
animeUsers	2099
animeRank	
animePopularity	6459
animeDescription	"Based on the adult novel by Noesis, Ori and Kizoku Coffee.

Yui had a quarrel with her parents and ran away from home. When she walks around the town, she meets her friend and she is tricked into joining a matchmaking website called Free Friends. She just waits for someone contacting her though she doesn't know much about it. The main character accidentally finds it and contacts her. On that night, they meet in the town full of libido and...

(Source: ErogeShop)"
animeRelated	['Furifure: Chakushin Ari - Ecchi Tokidoki Koi.', 'Furifure 2']
animeCharacters	['Kurahashi, Yui', 'Hirasaka, Mr.']
animeVoices	['Fujimori, Yukina']
animeStaff	[['Hayakawa, Naomi', 'Director, Storyboard, Character Design'], ['Sawayama, Shinichiro', 'Script'], ['Coffee, Kizoku', 'Original Character Design'], ['Ori', 'Original Creator']]
