animeTitle	b'Card Wang: Mix Master'
animeType	b'TV'
animeNumEpisode	39
releaseDate	
endDate	
animeNumMembers	
animeScore	6.41
animeUsers	549
animeRank	
animePopularity	
animeDescription	"b""Mix Masters is a Korea-Japan co-produced anime series, also known by the name Mix Master: King of Cards. It is a co-production by Nippon Animation of Japan and Sunwoo Entertainment and KBS of Korea. The story centers on the fantasy and adventure card game, Mix Master, and the transference of this game from a video game to the real world after a scientist's new invention goes terribly wrong. Creatures from the video game called henches run loose upon the real world and it is up to the Mix Master to stop those creatures from causing trouble. All the while, an evil leader from the video game, Prince Brad, causes trouble for them for some nefarious purpose.\n\n(Source: Wikipedia)"""
animeRelated	[b'Choegang Habche: Mix Master']
animeCharacters	[b'Penril', b'Pachi', b'Poy', b'Jamine', b'Cheek', b'Lee, Ditt', b'Jin', b'Chino']
animeVoices	[]
animeStaff	[b'\n\n\n\n\n\n', b'\nKase, Masahiro\n\nCharacter Design\n\n']
