animeTitle	Oh! My Konbu
animeType	TV
animeNumEpisode	22
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	14594
animeDescription	"Fifth-grader Nabeyama Konbu is the son of a cook in a slice-of-life gourmet comedy that tries to add an element of adventure to slaving in the kitchen. Konbu helps his father solve problems in the world through the judicious use of seasonings, the right choice of menu, and the pleasing of fickle customers.

(Source: AniDB)"
animeRelated	['Oh! My Konbu']
animeCharacters	['Nabeyaki, Konbu', 'Menmen', 'Tokonatsu, Paisuke']
animeVoices	['Takayama, Minami', 'Yokoyama, Chisa', 'Yamaguchi, Kappei']
animeStaff	[['Imazawa, Tetsuo', 'Director'], ['Akimoto, Yasushi', 'Theme Song Lyrics, Original Creator, Planning'], ['Tsuji, Yo', 'Music'], ['Ootake, Masae', 'Animation Director']]
