animeTitle	b'Genshiken Nidaime'
animeType	b'TV'
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.45
animeUsers	20537
animeRank	
animePopularity	
animeDescription	"b'Another college semester begins and the returning members of Genshiken attempt to recruit new club members. Three new members join the club, attracted by Ogiue\'s BL drawings. She welcomes the new members but fears the club will become a ""fujoshi"" haven for yaoi fans and is getting a bit too far removed from its original purpose.\n\n(Source: ANN)'"
animeRelated	[b'Genshiken', b'Genshiken Nidaime OVA', b'Genshiken Nidaime Specials']
animeCharacters	[b'Madarame, Harunobu', b'Ogiue, Chika', b'Hopkins, Susanna', b'Oono, Kanako', b'Hato, Kenjirou', b'Yoshitake, Rika', b'Yajima, Mirei', b'Kasukabe, Saki', b'Sasahara, Kanji', b'Kousaka, Makoto']
animeVoices	[b'\nOkitsu, Kazuyuki\nJapanese\n', b'\nYamamoto, Nozomi\nJapanese\n', b'\nOozora, Naomi\nJapanese\n', b'\nYukana\nJapanese\n', b'\nYamamoto, Kazutomi\nJapanese\n', b'\nUesaka, Sumire\nJapanese\n', b'\nUchiyama, Yumi\nJapanese\n', b'\nSatou, Rina\nJapanese\n', b'\nKobashi, Tatsuya\nJapanese\n', b'\nOohara, Momoko\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMatsushita, Keiko\n\nProducer\n\n', b'\nMizushima, Tsutomu\n\nDirector, Sound Director\n\n', b'\nKikuta, Kouichi\n\nEpisode Director, Storyboard, Key Animation\n\n', b'\nHata, Hiroyuki\n\nEpisode Director, Storyboard\n\n']
