animeTitle	b'Inferno Cop Specials'
animeType	b'Special'
animeNumEpisode	3
releaseDate	
endDate	
animeNumMembers	
animeScore	6.07
animeUsers	1362
animeRank	
animePopularity	
animeDescription	b'Three special episodes of Inferno Cop. The first features cameos of characters from Little Witch Academia. The third episode involves Inferno Cop traveling to New Jersey, where he comes across Donald Trump.'
animeRelated	[b'Little Witch Academia', b'Uchuu Patrol Luluco', b'Inferno Cop']
animeCharacters	[b'Inferno Cop']
animeVoices	[]
animeStaff	[]
