animeTitle	Takoyaki Mant-Man
animeType	TV
animeNumEpisode	77
releaseDate	1998-04-04 00:00:00
endDate	1999-09-05 00:00:00
animeNumMembers	368
animeScore	
animeUsers	
animeRank	13692
animePopularity	13811
animeDescription	"In order to protect the earth from the aliens, the god of Takoyaki created the five warriors of justice, Takoyaki Mantle Man. They risk their lives for justice. Takoyaki Mantle Man has round face, and wear a white cape and octopus belt as their symbol. Red is a leader whose special attack is Pickled Ginger Clash. Green is an energetic and hasty boy whose special attack is Green Onion Nunchaku. Pink is a precocious girl whose special attack is Okaka Flash. Blue is a sweet crybaby whose special attack is Seaweed Buster. Yellow is a cheerful boy whose special attack is Tenkasu Beam. Takoyaki Mantle Man is cute and strong heroic characters, friendly to children. Their enemies are too silly to hate. It is a very lively and amusing story.

(Source: ANN)"
animeRelated	[]
animeCharacters	['Pink', 'Blue', 'Red', 'Green', 'Tenten', 'Oba-chan', 'Tomato', 'Bao Bao, Mr.']
animeVoices	['Nasu, Megumi', 'Yamaguchi, Kappei', 'Yukino, Satsuki', 'Mizuta, Wasabi', 'Mamiya, Kurumi', 'Tani, Ikuko', 'Aikawa, Rikako', 'Kobayashi, Kiyoshi']
animeStaff	[['Shigino, Akira', 'Director'], ['Fujiyama, Fusanobu', 'Sound Director'], ['Iwami, Mika', 'Color Design'], ['Kubo, Tsuguyuki', 'Character Design']]
