animeTitle	b'Stainless Night'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	6.06
animeUsers	1741
animeRank	
animePopularity	
animeDescription	b'After ten years of dormancy, Linea awakes from a capsule in the countryside of Japan. Without any memories, she wanders into a small research center staffed by three beautiful women. One of the researchers, Sayako, is entranced by the strange woman and leaves her present lover. Sayako takes Linea to bed, and finds that her abilities are beyond that of any ordinary woman. \n\n(Source: ANN)'
animeRelated	[b'Stainless Night']
animeCharacters	[b'Linear', b'Dr. Zen', b'Sayaka', b'Aki']
animeVoices	[b'\nFujino, Kaoru\nJapanese\n', b'\nNishihara, Kumiko\nJapanese\n', b'\nIwatsubo, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMima, Masafumi\n\nSound Director\n\n', b'\nELF Corporation\n\nOriginal Creator\n\n', b'\nChiba, Yuriko\n\nAnimation Director\n\n', b'\nSakai, Keishi\n\nKey Animation\n\n']
