animeTitle	Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari
animeType	TV
animeNumEpisode	13
releaseDate	2003-10-04 00:00:00
endDate	2003-12-27 00:00:00
animeNumMembers	
animeScore	7.13
animeUsers	8254
animeRank	
animePopularity	3151
animeDescription	"Tired of writing riddles for children, Yamaoka Momosuke plans on gathering spooky and gruesome stories and publishing them in an anthology called Hyakumonogatari (""One Hundred Tales""). While researching these old myths and legends he comes across a mysterious trio who call themselves the Ongyou. They are detectives who are investigating the legends to reveal their truths...and bring those in the wrong to justice. Each time Momosuke meets the Ongyou he must face horrible truths and battle with his morals, but he's seeing things he shouldn't be seeing... 

(Source: ANN)"
animeRelated	[]
animeCharacters	['Mataichi', 'Ogin', 'Yamaoka, Momosuke', 'Nagamimi', 'Kyogokutei', 'Chio', 'Jihei']
animeVoices	['Nakao, Ryusei', 'Kobayashi, Sanae', 'Seki, Toshihiko', 'Wakamoto, Norio', 'Kyougoku, Natsuhiko', 'Shitaya, Noriko', 'Aono, Takeshi']
animeStaff	[['Tonokatsu, Hideki', 'Director'], ['Ooba, Hideaki', 'Episode Director, Storyboard'], ['Fujioka, Yoshinobu', 'Script, Series Composition'], ['Kakudou, Hiroyuki', 'Storyboard']]
