animeTitle	Doraemon Movie 38: Nobita no Takarajima
animeType	Movie
animeNumEpisode	1
releaseDate	2018-03-03 00:00:00
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	2288
animeRank	
animePopularity	7577
animeDescription	"Doraemon: Nobita no Takarajima takes the well-known characters to the Caribbean Sea; Nobita is the captain of a ship and fights against his enemies. Shizuka is kidnapped and a storm prevents her persecution. When the adventurers finally find the mysterious Treasure Island, where they have taken Shizuka, they discover that it is something more than a common island.

(Source: Official Website)"
animeRelated	['Doraemon (2005)']
animeCharacters	['Doraemon', 'Nobi, Nobita', 'Minamoto, Shizuka', 'Honekawa, Suneo', 'Gouda, Takeshi', 'Fiona', 'Quiz', 'Captain Silver', 'Gaga', 'Vivi']
animeVoices	['Mizuta, Wasabi', 'Oohara, Megumi', 'Kakazu, Yumi', 'Seki, Tomokazu', 'Kimura, Subaru', 'Oizumi, Yo', 'Hayami, Saori']
animeStaff	[['Imai, Kazuaki', 'Director, Storyboard'], ['Tanaka, Akiyoshi', 'Sound Director'], ['Hatta, Yousuke', 'Episode Director'], ['Kawamura, Genki', 'Script']]
