animeTitle	Fuujin Monogatari
animeType	TV
animeNumEpisode	13
releaseDate	
endDate	
animeNumMembers	
animeScore	7.22
animeUsers	3285
animeRank	
animePopularity	4435
animeDescription	"Nao, an 8th grader, is one of the only two members of a Digital Camera Club, where she also serves as the manager. It's a mystery that she shoots nothing else but the skies and clouds. One day, she finds a cat on a rooftop where she usually shoots her camera. It's a cat that knows how to manipulate the flow of a wind. Shocked to find a strange animal, Nao loses her footing and falls off from the rooftop!

Miki is the other member of the club, and also Nao's best friend. Mr. Taiki is the teacher who's taught the cat how to manipulate the flow of a wind. Ryoko is a girl who has a huge crush on Mr. Taiki. And there's Jun, who helps Nao and Miki look for a cat that can fly. Then, there's Yukio, who is the widow of Mr. Taiki's deceased brother.

On the outskirts of this big city, a town off the ""Wind Handlers,"" has been formed—and a mysterious Wind Festival is about to begin...

(Source: Production I.G)"
animeRelated	[]
animeCharacters	['Ueshima, Nao', 'Kataoka, Miki', 'Nomura, Jun', 'The Wind Cat', 'Karin', 'Yoshino, Ryouko', 'Makino-sensei', 'Yukio', 'Mr. Taiki', 'Atsuko']
animeVoices	['Nazuka, Kaori', 'Hanamura, Satomi', 'Irino, Miyu', 'Noto, Mamiko', 'Iwamura, Aiko', 'Nakamura, Akio', 'Mizuno, Risa', 'Sugiyama, Ooki', 'Ogasawara, Arisa']
animeStaff	[['Oshii, Mamoru', 'Producer'], ['Nishimura, Junji', 'Director, Episode Director, Script, Storyboard'], ['Wakabayashi, Kazuhiro', 'Sound Director'], ['Moriwaki, Makoto', 'Episode Director']]
