animeTitle	Idol Memories
animeType	TV
animeNumEpisode	12
releaseDate	
endDate	
animeNumMembers	
animeScore	5.37
animeUsers	1271
animeRank	
animePopularity	5829
animeDescription	"The story of Idol Memories is set in the near future, where live idol music performances in virtual reality have become commonplace. Against this backdrop, a pair of rival idol groups compete for the coveted ""tiara,"" which represents the number one spot in the ""Idol League.""

(Source: Crunchyroll)"
animeRelated	[]
animeCharacters	['Hoshi, Nanami', 'La, Yucho', 'Hayakawa, Kokona', 'Hattori, Sena', 'Kajiwara, Miku', 'Lin, Vivi', 'Mori, Takumi', 'Shirayuki, Shouko', 'Kataoka, Souichirou', 'Kariya, Misaki']
animeVoices	['Kohara, Riko', 'Aoki, Ruriko', 'Kimura, Yuu', 'Hayase, Marika', 'Sagara, Mayu', 'Toyota, Moe', 'Nagatsuka, Takuma', 'Mizuki, Nana', 'Sakaki, Kousuke', 'Itou, Shizuka']
animeStaff	[['Kikuchi, Katsuya', 'Director'], ['Yokota, Chikako', 'Sound Director'], ['Oonogi, Hiroshi', 'Script, Series Composition'], ['Ishii, Yumiko', 'Storyboard, Chief Animation Director, Animation Director']]
