animeTitle	Xi Yangyang Yu Hui Tailang: Yangyang Yundonghui
animeType	TV
animeNumEpisode	60
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	18166
animeDescription	No synopsis information has been added to this title. Help improve our database by adding a synopsis here.
animeRelated	['Xi Yangyang Yu Hui Tailang', 'Xi Yangyang Yu Hui Tailang: Yangyang Kuaile De Yi Nian', 'Xiyangyang Yu Huitailang Zhi Yangyang Deyi Xiyangyang Fanwai Pian']
animeCharacters	[]
animeVoices	[]
animeStaff	[]
