animeTitle	b'After... The Animation'
animeType	b'OVA'
animeNumEpisode	2
releaseDate	
endDate	
animeNumMembers	
animeScore	5.73
animeUsers	2460
animeRank	
animePopularity	
animeDescription	b'Young boy gets involved with the teacher and classmates.'
animeRelated	[b'After...']
animeCharacters	[b'Shiomiya, Kanami', b'Takawashi, Nagisa', b'Mikkachi, Saori', b'Abiko, Yoshii', b'Abiko, Keishou', b'Kishi, Youko', b'Takawashi, Yuuichi', b'Takidani, Kotaro']
animeVoices	[b'\nNishizawa, Hiroka\nJapanese\n', b'\nIchimura, Oma\nJapanese\n', b'\nAsai, Harumi\nJapanese\n', b'\nAshiro, Megu\nJapanese\n', b'\nYamauchi, Yuuya\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nMurakami, Kotaro\n\nProducer\n\n', b'\nNakagawa, Tatsuto\n\nSound Director\n\n', b'\nTaka, Tony\n\nCreator\n\n']
