animeTitle	b'Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma'
animeType	b'Movie'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.55
animeUsers	1092
animeRank	
animePopularity	
animeDescription	"b'Fuuma ninja clan is a secret ninja tribe that is waiting for the ""Orochi"" (gigantic snake) to resurrect for generations. Shirasu and his twin brother Ichiu grew up in this viscous environment and this tells how they become the leaders of the clan.\n\n(Source: Amazon Prime Video)'"
animeRelated	[b'Donten ni Warau Gaiden', b'Donten ni Warau Gaiden: Ketsubetsu, Yamainu no Chikai', b'Donten ni Warau Gaiden: Ouka, Tenbou no Kakehashi']
animeCharacters	[b'Kinjou, Shirasu', b'Kumou, Soramaru', b'Fuuma, Kotarou', b'Kumou, Tenka', b'Sasaki, Kiiko', b'Rikka', b'Eishirou', b'Itsuki', b'Mitsu']
animeVoices	[b'\nInoue, Kikuko\nJapanese\n', b'\nTsuda, Kenjirou\nJapanese\n', b'\nTerashima, Takuma\nJapanese\n', b'\nSuwa, Ayaka\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nUeda, Youko\n\nProducer\n\n', b'\nKarakara, Kemuri\n\nOriginal Creator\n\n', b'\nWada, Jouji\n\nProduction Manager\n\n', b'\nIshikawa, Mitsuhisa\n\nPlanning\n\n']
