animeTitle	Music S.T.A.R.T!!
animeType	Music
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	7.21
animeUsers	6250
animeRank	
animePopularity	5019
animeDescription	Music video bundled with the sixth single of the anime-idol group μ's.
animeRelated	"['Bokura no Live Kimi to no Life', 'Snow Halation', 'Natsu-iro Egao de 1, 2, Jump!', 'Mogyutto ""Love"" de Sekkinchuu!', 'Wonderful Rush', 'Love Live! School Idol Project']"
animeCharacters	['Nishikino, Maki', 'Yazawa, Niko', 'Toujou, Nozomi', 'Minami, Kotori', 'Sonoda, Umi', 'Kousaka, Honoka', 'Hoshizora, Rin', 'Ayase, Eri', 'Koizumi, Hanayo']
animeVoices	['Pile', 'Tokui, Sora', 'Kusuda, Aina', 'Uchida, Aya', 'Mimori, Suzuko', 'Nitta, Emi', 'Iida, Riho', 'Nanjou, Yoshino', 'Kubo, Yurika']
animeStaff	[['Mimori, Suzuko', 'Theme Song Performance'], ['Nanjou, Yoshino', 'Theme Song Performance'], ['Pile', 'Theme Song Performance'], ['Uchida, Aya', 'Theme Song Performance']]
