animeTitle	b'Taiyou no Kiba Dagram'
animeType	b'TV'
animeNumEpisode	75
releaseDate	
endDate	
animeNumMembers	
animeScore	7.31
animeUsers	768
animeRank	
animePopularity	
animeDescription	"b'The story is centered around a small group of guerilla freedom fighters on a colonial planet named Deployer, who are known as the ""Deployer 7"", or ""Sun Fang"" team. In an unexpected coup, the elected Governor of Deployer becomes dictator and rules Deployer under martial law with the support of Earth\'s Federation. Fighting for independence from Earth\'s Federation influence, the freedom fighters begin a rebellion against the Federation\'s Combat Armors using a Combat Armor of their own: the Dougram. \n\n(Source: AniDB)'"
animeRelated	[b'Choro Q Dagram', b'Document Taiyou no Kiba Dagram', b'Dagram vs. Round-Facer']
animeCharacters	[b'Lecoque, Helmut J.', b'Cashim, Crinn', b'Andrew, Rocky', b'Auxerre, Daisy', b'Donett, Canary', b'Boyd, Rick', b'Zaltsev, Jackie', b'Destin, Call', b'Narrator', b'Samalin, David']
animeVoices	[b'\nJinnai, Tatsuyuki\nJapanese\n', b'\nInoue, Kazuhiko\nJapanese\n', b'\nTanaka, Ryouichi\nJapanese\n', b'\nTakashima, Gara\nJapanese\n', b'\nYamada, Eiko\nJapanese\n', b'\nIkeda, Masaru\nJapanese\n', b'\nYara, Yuusaku\nJapanese\n', b'\nHirose, Masashi\nJapanese\n', b'\nYamanouchi, Masato\nJapanese\n', b'\nMiyauchi, Kouhei\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nTakahashi, Ryousuke\n\nDirector, Original Creator\n\n', b'\nKanda, Takeyuki\n\nDirector, Storyboard\n\n', b'\nYatabe, Katsuyoshi\n\nEpisode Director\n\n', b'\nIshizaki, Susumu\n\nEpisode Director, Storyboard\n\n']
