animeTitle	Hikaru no Go: Sabaki no Ikkyoku! Inishie no Hana yo Sake!!
animeType	OVA
animeNumEpisode	1
releaseDate	2002-01-01 00:00:00
endDate	
animeNumMembers	
animeScore	7.38
animeUsers	2772
animeRank	
animePopularity	6375
animeDescription	Alternate version of the story featured in episode 64 of Hikaru no Go.
animeRelated	['Hikaru no Go']
animeCharacters	['Fujiwara no, Sai', 'Shindou, Hikaru', 'Touya, Akira', 'Mitani, Yuki', 'Fujisaki, Akari', 'Kaga, Tetsuo', 'Shindou, Mitsuko', 'Tsutsui, Kimihiro']
animeVoices	['Chiba, Susumu', 'Kawakami, Tomoko', 'Asakawa, Yuu', 'Kakazu, Yumi', 'Itou, Kentarou', 'Hino, Yurika', 'Tsumura, Makoto']
animeStaff	[['Obata, Takeshi', 'Original Character Design'], ['Hotta, Yumi', 'Original Creator'], ['Wakakusa, Kei', 'Music']]
