animeTitle	Tokimeki Memorial 4 OVA
animeType	OVA
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	6.08
animeUsers	622
animeRank	
animePopularity	9487
animeDescription	OVA added to new PSP game Tokimeki Memorial 4.
animeRelated	[]
animeCharacters	['Kobayashi, Manabu', 'Yanagi, Fumiko', 'Godou, Tsugumi', 'Nanakawa, Tadashi', 'Ryuukouji, Kai', 'Naruse, Elisa Dolittle', 'Ookura, Miyako', 'Kyouno, Rhythmy', 'Hoshikawa, Maki', 'Nanakawa, Rui']
animeVoices	['Sakaguchi, Daisuke', 'Iguchi, Yuka', 'Yahagi, Sayuri', 'Nakamura, Yuuichi', 'Matsuura, Chie', 'Tateno, Kanako', 'Fukuen, Misato', 'Hanazawa, Kana', 'Oogame, Asuka', 'Mizuhashi, Kaori']
animeStaff	[['Hanyuu, Naoyasu', 'Director'], ['Iida, Satoki', 'Sound Director'], ['Hayakawa, Naomi', 'Assistant Animation Director'], ['Nomura, Masanobu', 'Art Director']]
