animeTitle	b'Totsukuni no Shoujo OVA'
animeType	b'OVA'
animeNumEpisode	1
releaseDate	
endDate	
animeNumMembers	
animeScore	
animeUsers	
animeRank	
animePopularity	
animeDescription	"b""OVA bundled with the special edition of the manga's side story."""
animeRelated	[b'Totsukuni no Shoujo']
animeCharacters	[b'Sensei', b'Shiva']
animeVoices	[b'\nFukuyama, Jun\nJapanese\n', b'\nTakahashi, Rie\nJapanese\n']
animeStaff	[b'\n\n\n\n\n\n', b'\nKubo, Yuutarou\n\nDirector, Script, Character Design\n\n', b'\nMaiya, Satomi\n\nDirector, Script, Character Design\n\n', b'\nHata, Shouji\n\nSound Director\n\n', b'\nNagabe\n\nOriginal Creator\n\n']
